feat_idx	best_transform	params_csv	r_identity	r_best
387	identity		0.140824	0.140824
388	identity		-0.028049	-0.028049
389	identity		-0.029620	-0.029620
390	identity		-0.033645	-0.033645
391	identity		0.132997	0.132997
392	identity		0.082258	0.082258
393	identity		0.165721	0.165721
394	identity		-0.081187	-0.081187
395	identity		0.081396	0.081396
396	identity		0.085312	0.085312
397	signed_cbrt		0.036580	0.085503
398	signed_cbrt		-0.048254	-0.066739
399	identity		-0.025259	-0.025259
400	identity		0.042880	0.042880
401	log1p		-0.416029	-0.424813
402	identity		-0.391550	-0.391550
403	log1p		-0.341549	-0.346572
404	log1p		-0.287864	-0.296000
405	identity		-0.322676	-0.322676
406	signed_cbrt		-0.077103	-0.202319
407	identity		-0.270491	-0.270491
408	identity		-0.195249	-0.195249
409	identity		-0.144964	-0.144964
410	log1p		-0.385894	-0.397830
411	identity		-0.338048	-0.338048
412	identity		-0.316301	-0.316301
413	log1p		-0.377120	-0.389245
414	log1p		-0.262094	-0.271570
415	identity		-0.286064	-0.286064
416	signed_cbrt		-0.024208	-0.184940
417	log1p		-0.423055	-0.430617
418	log1p		-0.309615	-0.314852
419	identity		-0.334464	-0.334464
420	signed_cbrt		-0.111067	-0.207315
421	log1p		-0.157074	-0.176750
422	signed_cbrt		0.158634	0.166625
423	identity		-0.432553	-0.432553
424	log1p		-0.166010	-0.184990
425	log1p		-0.130126	-0.150277
426	signed_cbrt		0.000272	0.167443
427	log1p		-0.137615	-0.144372
428	identity		-0.132318	-0.132318
429	signed_cbrt		-0.256512	-0.297457
430	signed_cbrt		-0.021082	-0.031747
431	identity		0.019089	0.019089
432	signed_cbrt		-0.001394	-0.023632
433	identity		-0.033836	-0.033836
434	identity		-0.025867	-0.025867
435	identity		0.145018	0.145018
436	identity		-0.056633	-0.056633
437	identity		0.016991	0.016991
438	identity		-0.073855	-0.073855
439	signed_cbrt		-0.024743	-0.032652
440	identity		-0.067803	-0.067803
441	identity		-0.043390	-0.043390
442	signed_cbrt		-0.025568	-0.038433
443	identity		-0.044910	-0.044910
444	identity		-0.018048	-0.018048
445	identity		0.146222	0.146222
446	log1p		-0.001226	-0.006468
447	identity		0.000581	0.000581
448	identity		-0.023043	-0.023043
449	identity		0.140723	0.140723
450	identity		0.085645	0.085645
451	identity		0.228986	0.228986
452	identity		-0.067112	-0.067112
453	identity		0.084744	0.084744
454	identity		0.088722	0.088722
455	signed_cbrt		0.053781	0.096734
456	signed_cbrt		-0.053358	-0.080719
457	signed_cbrt		-0.011018	0.031281
458	identity		0.038234	0.038234
459	identity		0.032912	0.032912
460	signed_cbrt		0.023902	-0.038882
461	signed_cbrt		-0.002261	-0.055873
462	identity		0.030176	0.030176
463	identity		-0.145632	-0.145632
464	identity		0.146518	0.146518
465	signed_cbrt		0.003579	-0.009032
466	identity		-0.068869	-0.068869
467	identity		-0.142976	-0.142976
468	signed_cbrt		0.006834	-0.036803
469	log1p		-0.038712	-0.048172
470	identity		-0.127212	-0.127212
471	identity		0.035211	0.035211
472	identity		0.018787	0.018787
473	identity		-0.129030	-0.129030
474	identity		0.149903	0.149903
475	identity		0.027472	0.027472
476	identity		0.048946	0.048946
477	identity		-0.161593	-0.161593
478	identity		0.140282	0.140282
479	identity		0.095186	0.095186
480	identity		0.206320	0.206320
481	identity		-0.071516	-0.071516
